Name,FIPS,#RenterOccupiedHousingUnits,#MovedSameCounty,#MovedSameState,#MovedNewState,MedianRent,MedianHomeValue,#VacantForRent
"Winnetka, IL",1782530,533,259,66,153,1984.130441,1076000,3
"Teton Village, WY",5675935,4,,,,,1072700,434
"Arcadia, CA",602462,7872,1382,462,369,1557.629208,1068800,285
"Cos Cob, CT",917520,938,215,0,61,1911.360836,1064000,0
"Bolinas, CA",607316,205,0,7,0,1667.291162,1061300,36
"Lattingtown, NY",3641432,94,34,0,0,2457.8,1059200,4
"Blawenburg, NJ",3406190,3,,,,,1058300,0
"Manhasset, NY",3644897,545,162,74,0,1470.029259,1057500,22
"Shelter Island Heights, NY",3666850,46,,,,,1055000,0
"West University Place, TX",4877956,527,667,107,148,2299.705143,1055000,0
"Moose Wilson Road, WY",5654402,161,0,0,70,932.2976014,1045600,295
"Avila Beach, CA",603330,218,50,32,14,1558.683551,1044800,59
"Pasatiempo, CA",656028,73,27,7,0,,1043500,0
"Danville, CA",617988,2474,1111,572,397,2523.756697,1043200,122
"Calabasas, CA",609598,2921,839,236,223,2396.270462,1042000,159
"North Crows Nest, IN",1854612,0,,,,,1041700,0
"Englewood Cliffs, NJ",3421510,248,141,0,89,,1041200,0
"San Anselmo, CA",664434,1311,262,57,7,1840.376766,1039000,13
"Deer Park, CA",618324,115,7,0,0,1059.4,1035700,8
"Greenwich, CT",933690,3206,776,13,153,1704.941274,1030200,0
"Old Field, NY",3654617,25,3,34,0,1590.15704,1030200,0
"Black Point-Green Point, CA",606982,178,0,0,0,2066.8,1027200,0
"Maunawili, HI",1550750,55,55,0,22,2207.2,1020600,2
"Topanga, CA",678960,754,334,115,29,2278.728035,1020600,0
"Castle Pines Village, CO",812393,105,124,36,52,3130.6,1019600,0
"McLean, VA",5148376,2259,1003,349,546,3326.718893,1019400,216
"Chevy Chase Section Three, MD",2416730,5,0,8,12,,1018900,0
"Bal Harbour, FL",1203275,436,243,41,3,1977.700429,1017400,0
"South Park, WY",5671947,185,15,0,46,1224.166785,1013100,41
"Paragon Estates, CO",857445,15,9,0,0,,1012500,0
"East Hills, NY",3622260,2,65,7,6,,1012200,0
"San Francisco, CA",667000,226863,14201,18749,6111,1810.540908,1009500,6329
"Pine Ridge, Collier County, FL",1257066,174,92,339,0,1433.313894,1008600,104
"San Mateo, CA",668252,16946,2636,1414,781,2282.975059,1007200,771
"Grand View-on-Hudson, NY",3629872,21,4,0,8,,1006000,5
"Loch Arbour, NJ",3441010,12,7,0,0,1190.262141,1000000,0
"Sewickley Heights, PA",4269400,51,0,0,0,1157.4,996300,0
"Del Rio, CA",618695,0,85,0,0,,996000,0
"Wailea, HI",1576925,1021,292,0,121,1835.2,994000,2286
